1;4000;0;0;0;0;0;0;1;0;0;0;30;26;32;27;0
2;32000;0;0;0;0;0;0;2;0;0;0;30;27;32;27;0
3;108000;0;0;0;0;0;0;11;5;0;0;32;24;43;18;0
4;256000;0;0;0;0;0;0;21;12;0;0;34;28;54;32;0
5;500000;0;0;0;0;0;0;73;210;0;0;39;17;113;299;0
6;864000;0;0;0;0;0;0;64;5;0;0;42;13;107;26;0
7;1372000;1;0;0;0;0;0;110;10;0;0;48;3;159;8;0
8;2048000;1;0;0;0;0;0;118;7;0;0;49;2;168;9;0
9;2916000;1;0;1;0;1;0;257;8;0;0;54;3;314;10;0
10;4000000;1;0;1;0;1;0;275;36;0;0;58;1;335;34;0
11;5324000;2;0;1;0;1;0;407;2458;0;0;62;2;472;2487;0
12;6912000;2;0;1;0;1;0;440;5386;0;0;68;3;511;5396;0
13;8788000;3;0;2;0;2;0;707;4955;0;0;77;3;791;4916;0
14;10976000;4;0;2;0;2;0;925;5822;0;0;134;1166;1066;3957;0
15;13500000;4;0;2;0;2;0;1173;1853;0;0;208;3091;1388;2425;0
;;;;;;;;;;;;;;;;
GPU_NoGeometryAll;;;;;;;;;;;;;;;;
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation time variance (ms);Marching_Cubes time (ms);Marching_Cubes time variance (ms);Mesh_Smoothing time (ms);Mesh_Smoothing time variance (ms);Mesh_Building time (ms);Mesh_Building time variance (ms);Buffer_Trimming time (ms);Buffer_Trimming time variance (ms);Mesh_Rendering time (ms);Mesh_Rendering time variance (ms);Total_Time time (ms);Total_Time time variance (ms);Average frame rate
1;4000;0;0;0;0;0;0;0;0;0;0;51;96;51;96;0
2;32000;0;0;0;0;0;0;0;0;0;0;48;26;48;26;0
3;108000;0;0;0;0;0;0;0;0;0;0;97;373;97;373;0
4;256000;0;0;0;0;0;0;0;0;0;0;104;19;104;19;0
5;500000;0;0;0;0;0;0;0;0;0;0;315;4012;316;4012;0
6;864000;0;0;0;0;0;0;0;0;0;0;333;37;334;37;0
7;1372000;0;0;0;0;0;0;1;0;0;0;545;4686;547;4689;0
8;2048000;0;0;0;0;0;0;1;0;0;0;569;205;570;207;0
9;2916000;1;0;1;0;1;0;1;0;0;0;1165;39588;1168;39605;0
10;4000000;1;0;1;0;1;0;1;0;0;0;1234;341;1237;341;0
11;5324000;1;0;1;0;1;0;2;0;0;0;1722;26431;1727;26431;0
12;6912000;1;0;1;0;1;0;2;0;0;0;1774;805;1779;804;0
13;8788000;2;0;1;0;1;0;4;0;0;0;3206;243832;3214;243865;0
14;10976000;2;0;1;0;1;0;4;0;0;0;3363;403;3371;407;0
15;13500000;2;0;1;0;1;0;4;0;0;0;5427;1716432;5435;1716570;0
;;;;;;;;;;;;;;;;
GPU_GeometryExact;;;;;;;;;;;;;;;;
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation time variance (ms);Marching_Cubes time (ms);Marching_Cubes time variance (ms);Mesh_Smoothing time (ms);Mesh_Smoothing time variance (ms);Mesh_Building time (ms);Mesh_Building time variance (ms);Buffer_Trimming time (ms);Buffer_Trimming time variance (ms);Mesh_Rendering time (ms);Mesh_Rendering time variance (ms);Total_Time time (ms);Total_Time time variance (ms);Average frame rate
1;4000;0;0;0;0;0;0;3;1;0;0;30;24;34;22;0
2;32000;0;0;0;0;0;0;5;0;0;0;31;25;36;26;0
3;108000;0;0;0;0;0;0;24;60;0;0;33;32;57;67;0
4;256000;0;0;0;0;0;0;22;35;0;0;34;29;56;68;0
5;500000;0;0;0;0;0;0;65;258;0;0;38;29;104;382;0
6;864000;0;0;0;0;0;0;60;11;0;0;40;28;101;22;0
7;1372000;1;0;0;0;0;0;107;6;0;0;50;23;158;36;0
8;2048000;1;0;0;0;0;0;115;7;0;0;49;1;165;5;0
9;2916000;1;0;1;0;1;0;251;9;0;0;55;2;308;11;0
10;4000000;1;0;1;0;1;0;262;8;0;0;58;6;323;20;0
11;5324000;2;0;1;0;1;0;374;4;0;0;64;13;441;19;0
12;6912000;2;0;1;0;1;0;391;12;0;0;68;7;462;23;0
13;8788000;3;0;2;0;2;0;673;20;0;0;77;13;757;45;0
14;10976000;3;0;2;0;2;0;816;3356;0;0;123;318;946;3737;0
15;13500000;4;0;2;0;2;0;1164;5613;0;0;162;3679;1333;1767;0
;;;;;;;;;;;;;;;;
GPU_GeometryAll;;;;;;;;;;;;;;;;
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation time variance (ms);Marching_Cubes time (ms);Marching_Cubes time variance (ms);Mesh_Smoothing time (ms);Mesh_Smoothing time variance (ms);Mesh_Building time (ms);Mesh_Building time variance (ms);Buffer_Trimming time (ms);Buffer_Trimming time variance (ms);Mesh_Rendering time (ms);Mesh_Rendering time variance (ms);Total_Time time (ms);Total_Time time variance (ms);Average frame rate
1;4000;0;0;0;0;0;0;0;0;0;0;49;56;49;56;0
2;32000;0;0;0;0;0;0;0;0;0;0;47;23;47;23;0
3;108000;0;0;0;0;0;0;0;0;0;0;98;221;98;221;0
4;256000;0;0;0;0;0;0;0;0;0;0;107;44;108;44;0
5;500000;0;0;0;0;0;0;0;0;0;0;371;3668;372;3668;0
6;864000;0;0;0;0;0;0;0;0;0;0;393;50;394;54;0
7;1372000;0;0;0;0;0;0;1;0;0;0;660;4590;662;4591;0
8;2048000;0;0;0;0;0;0;1;0;0;0;690;55;691;55;0
9;2916000;1;0;1;0;1;0;1;0;0;0;1451;41027;1454;41021;0
10;4000000;1;0;1;0;1;0;1;0;0;0;1519;433;1522;433;0
11;5324000;1;0;1;0;1;0;2;0;0;0;2129;24180;2134;23855;0
12;6912000;1;0;1;0;1;0;2;0;0;0;2185;1002;2190;997;0
13;8788000;2;0;2;0;1;0;4;0;0;0;3927;223818;3936;223838;0
14;10976000;2;0;1;0;1;0;4;0;0;0;4068;2001;4077;2011;0
15;13500000;2;0;1;0;1;0;4;0;0;0;7740;2526030;7748;2526558;0
